,Brand,Model Name,Display Size,Operating System,Picture Quality,Smart Tv,Sound Technology,Refresh Rate,Screen Type,Connectivity,Price
257,iFFALCON,32F2A,79.97 cm (32 inch),Android,"HD Ready, 1366 x 768",Yes,Dolby,60 Hz,LED,2 HDMI | 1 left Rear USB,"₹16,490"
258,BeethoSOL,LEDATBG32HDEK,80 cm (32 inch),NA,"HD Ready, 1366 x 768",No,NA,60 Hz,LED,2 Rear HDMI | 2 USB,"₹7,349"
259,TOSHIBA,50C350MP,126 cm (50 inch),Google TV,"Ultra HD (4K), 3840 x 2160",Yes,NA,60 Hz,LED,3 HDMI | 2 USB,"₹30,999"
260,Blaupunkt,75QD7040,189 cm (75 inch),Google TV,"Ultra HD (4K), 3840 x 2160",Yes,NA,60 Hz,QLED,3 (Rear) HDMI | 2 (Rear) USB,"₹99,999"
261,XElectron,32STV,80 cm (32 inch),NA,"HD Ready, 1366 x 768",No,NA,60 Hz,LED,2 Rear HDMI | 2 USB,"₹6,999"
262,Mi,L43M6-EI,108 cm (43 inch),Android,"Full HD, 1920 x 1080",Yes,DTS-HD,60 Hz,LED,3 HDMI | 2 USB,"₹31,999"
263,SENS,SENS55WGSQLED,140 cm (55 inch),Google TV,"Ultra HD (4K), 3840 x 2160",Yes,NA,60 Hz,QLED,3 HDMI | 2 USB,"₹35,999"
264,KODAK,55MT5022,139 cm (55 inch),Google TV,"Ultra HD (4K), 3840 x 2160",Yes,NA,60 Hz,QLED,3 Rear HDMI | 2 USB,"₹32,999"
265,Dyanora,DY-LD32H4S,80 cm (32 Inch),Linux,"HD Ready, 1366 x 768",Yes,Surround,60 Hz,LED,2 (Rear) HDMI | 2 USB,"₹8,399"
266,LG,65UQ7500PSF,164 cm (65 inch),WebOS,"Ultra HD (4K), 3840 x 2160",Yes,NA,60 Hz,LED,3 HDMI | 1 Rear USB,"₹69,990"
267,SENS,SENS50WASUHD,127 cm (50 inch),Android,"Ultra HD (4K), 3840 x 2160",Yes,Dolby Audio,60 Hz,LED,3 HDMI | 2 USB,"₹24,999"
268,Coocaa,55S6G Pro,138 cm (55 inch),Android,"Ultra HD (4K), 3840 x 2160",Yes,"Dolby Digital, DTS Trusurround",60 Hz,LED,3 HDMI | 2 USB,"₹30,999"
269,Mi,L40M6-EI,100 cm (40 inch),Android,"Full HD, 1920 x 1080",Yes,DTS-HD,60 Hz,LED,3 HDMI | 2 USB,"₹29,999"
270,Thomson,Q43H1110,108 cm (43 inch),Google TV,"Ultra HD (4K), 3840 × 2160",Yes,Dolby Atmos and DTS TruSurround,60 Hz,QLED,3 (Rear) HDMI | 2 (Rear) USB,"₹20,999"
271,KODAK,50CAPROGT5012,126 cm (50 inch),Google TV,"Ultra HD (4K), 3840 x 2160",Yes,NA,60 Hz,LED,3 HDMI | 2 USB,"₹24,699"
272,Coocaa,65Y72,164 cm (65 inch),Google TV,"Ultra HD (4K), 3840 x 2160",Yes,NA,60 Hz,LED,3 HDMI | 2 USB,"₹45,999"
273,NU,LED43FWA1,109 cm (43 inch),WebOS,"Full HD, 1920 x 1080",Yes,NA,60 Hz,LED,3 HDMI | 2 USB,"₹39,999"
274,Dyanora,DY-LD24H0N,60 cm (24 inch),NA,"HD Ready, 1366 x 768",No,Surround,60 Hz,LED,1 Rear HDMI | 1 USB,"₹5,799"
275,Thomson,Q65H1100,164 cm (65 inch),Google TV,"Ultra HD (4K), 3840 x 2160",Yes,NA,60 Hz,QLED,3 Rear HDMI | 2 USB,"₹43,999"
276,CANDY,CA43U50LED,108 cm (43 inch),Google TV,"Ultra HD (4K), 3840 x 2160",Yes,NA,60 Hz,LED,4 HDMI | 2 USB,"₹24,990"
277,SKYTRON,S43FHSC,108 cm (43 inch),Android Based,"Full HD, 1920 x 1080",Yes,NA,60 Hz,LED,2 (Rear) HDMI | 2 USB,"₹19,999"
278,Hisense,65E7K,164 cm (65 inch),VIDAA,"Ultra HD (4K), 3840 × 2160",Yes,"Dolby Atmos, Dolby Audio, Stereo Speaker",60 Hz,QLED,3 HDMI | 2 USB,"₹49,999"
279,Hisense,43A4G,108 cm (43 inch),Android,"Full HD, 1920 x 1080",Yes,NA,60 Hz,LED,2 HDMI | 2 USB,"₹20,999"
280,XElectron,24STV,60 cm (24 inch),NA,"HD Ready, 1366 x 768",No,NA,60 Hz,LED,1 Rear HDMI | 2 USB,"₹5,499"
281,Acer,AR43GR2851UDFL,108 cm (43 inch),Google TV,"Ultra HD (4K), 3840 x 2160",Yes,NA,60 Hz,LED,3 HDMI | 2 USB,"₹27,990"
282,Lloyd,43QS850E,109 cm (43 inch),WebOS,"Ultra HD (4K), 3840 x 2160",Yes,Dolby Audio,60 Hz,QLED,3 HDMI | 2 USB,"₹32,990"
283,Blaupunkt,75QD7040,189 cm (75 inch),Google TV,"Ultra HD (4K), 3840 x 2160",Yes,NA,60 Hz,QLED,3 (Rear) HDMI | 2 (Rear) USB,"₹99,999"
284,SONY,KD-50X80L,125.7 cm (50 inch),Google TV,"Ultra HD (4K), 3840 x 2160",Yes,NA,50 Hz,LED,4 (Rear) HDMI | 2 USB,"₹75,990"
285,SAMSUNG,QA55Q60AAKLXL,138 cm (55 inch),Tizen,"Ultra HD (4K), 3840 x 2160",Yes,NA,60 Hz,QLED,3 HDMI | 2 USB,"₹72,999"
286,SAMSUNG,QA55QN90AAKLXL,138 cm (55 inch),Tizen,"Ultra HD (4K), 3840 x 2160",Yes,NA,120 Hz,QLED,4 HDMI | 2 USB,"₹1,19,990"
287,LG,OLED48A2PSA,121 cm (48 inch),WebOS,"Ultra HD (4K), 3840 x 2160",Yes,NA,NA,OLED,3 HDMI | 2 USB,"₹73,990"
288,Thomson,Q43H1110,108 cm (43 inch),Google TV,"Ultra HD (4K), 3840 × 2160",Yes,Dolby Atmos and DTS TruSurround,60 Hz,QLED,3 (Rear) HDMI | 2 (Rear) USB,"₹20,999"
289,KODAK,50CAPROGT5012,126 cm (50 inch),Google TV,"Ultra HD (4K), 3840 x 2160",Yes,NA,60 Hz,LED,3 HDMI | 2 USB,"₹24,699"
290,KODAK,65CA0101,164 cm (65 inch),Android,"Ultra HD (4K), 3840 x 2160",Yes,Dolby Audio,60 Hz,LED,3 HDMI | 2 USB,"₹45,999"
